symbol,min_buy,max_buy,last_buy,mean_buy
CZK,2082121.03,2082448.44,2082448.44,2082186.512
DKK,613244.46,613340.89,613340.89,613263.746
EUR,82208.33,82221.26,82221.26,82210.916
GBP,68490.09,68500.86,68500.86,68492.24399999999
HKD,678743.94,678850.67,678850.67,678765.286
HRK,402493.83,402557.12,402557.12,402506.488
HUF,33642903.28,33648193.5,33648193.5,33643961.324
INR,7363519.93,7364677.82,7364677.82,7363751.507999999
ISK,11407668.0,11409461.81,11409461.81,11408026.762
JPY,13519469.79,13521595.68,13521595.68,13519894.968
KRW,122239394.84,122258616.55,122258616.55,122243239.182
NGN,146293095.67,146316099.75,146316099.75,146297696.486
NZD,147271.0,147294.16,147294.16,147275.632
PLN,357219.11,357275.28,357275.28,357230.344
RON,319894.22,319944.52,319944.52,319904.27999999997
RUB,8599361.91,8600714.13,8600714.13,8599632.354
SEK,951412.53,951562.14,951562.14,951442.4519999999
SGD,116721.74,116740.1,116740.1,116725.41200000001
THB,3026994.42,3027470.4,3027470.4,3027089.616
TRY,2998050.28,2998521.71,2998521.71,2998144.5659999996
TWD,2830285.24,2830730.29,2830730.29,2830374.25
USD,87258.42,87272.14,87272.14,87261.164
ARS,87062903.8,87076594.14,87076594.14,87067467.24666667
AUD,133748.65,133769.68,133769.68,133755.66
BRL,501561.28,501640.15,501640.15,501587.57
CAD,121814.06,121833.21,121833.21,121820.44333333334
CHF,77078.06,77090.18,77090.18,77082.09999999999
CLP,85944303.27,85957817.72,85957817.72,85948808.08666666
CNY,629124.45,629223.37,629223.37,629157.4233333333
CZK,2082121.03,2082448.44,2082448.44,2082230.1666666667
DKK,613244.46,613340.89,613340.89,613276.6033333334
EUR,82208.33,82221.26,82221.26,82212.64
GBP,68490.09,68500.86,68500.86,68493.68
HKD,678743.94,678850.67,678850.67,678779.5166666666
HRK,402493.83,402557.12,402557.12,402514.9266666667
HUF,33642903.28,33648193.5,33648193.5,33644666.68666667
INR,7363519.93,7364677.82,7364677.82,7363905.893333334
ISK,11407668.0,11409461.81,11409461.81,11408265.936666667
JPY,13519469.79,13521595.68,13521595.68,13520178.42
KRW,122239394.84,122258616.55,122258616.55,122245802.07666667
NGN,146293095.67,146316099.75,146316099.75,146300763.69666666
NZD,147271.0,147294.16,147294.16,147278.72
PLN,357219.11,357275.28,357275.28,357237.8333333333
RON,319894.22,319944.52,319944.52,319910.98666666663
RUB,8599361.91,8600714.13,8600714.13,8599812.65
SEK,951412.53,951562.14,951562.14,951462.4
SGD,116721.74,116740.1,116740.1,116727.86
THB,3026994.42,3027470.4,3027470.4,3027153.08
TRY,2998050.28,2998521.71,2998521.71,2998207.4233333333
TWD,2830285.24,2830730.29,2830730.29,2830433.59
USD,87258.42,87272.14,87272.14,87262.99333333333
ARS,87062903.8,87076594.14,87076594.14,87068771.08857143
AUD,133748.65,133769.68,133769.68,133757.66285714283
BRL,501561.28,501640.15,501640.15,501595.0814285715
CAD,121814.06,121833.21,121833.21,121822.26714285715
CHF,77078.06,77090.18,77090.18,77083.25428571428
CLP,85944303.27,85957817.72,85957817.72,85950095.17714286
CNY,629124.45,629223.37,629223.37,629166.8442857143
CZK,2082121.03,2082448.44,2082448.44,2082261.3485714286
DKK,613244.46,613340.89,613340.89,613285.7871428571
EUR,82208.33,82221.26,82221.26,82213.87142857142
GBP,68490.09,68500.86,68500.86,68494.70571428571
HKD,678743.94,678850.67,678850.67,678789.6814285713
HRK,402493.83,402557.12,402557.12,402520.9542857143
HUF,33642903.28,33648193.5,33648193.5,33645170.517142855
INR,7363519.93,7364677.82,7364677.82,7364016.168571428
ISK,11407668.0,11409461.81,11409461.81,11408436.775714288
JPY,13519469.79,13521595.68,13521595.68,13520380.885714283
KRW,122239394.84,122258616.55,122258616.55,122247632.71571429
NGN,146293095.67,146316099.75,146316099.75,146302954.56142858
NZD,147271.0,147294.16,147294.16,147280.92571428572
PLN,357219.11,357275.28,357275.28,357243.1828571429
RON,319894.22,319944.52,319944.52,319915.77714285714
RUB,8599361.91,8600714.13,8600714.13,8599941.432857143
SEK,951412.53,951562.14,951562.14,951476.6485714286
SGD,116721.74,116740.1,116740.1,116729.60857142857
THB,3026994.42,3027470.4,3027470.4,3027198.411428571
TRY,2998050.28,2998521.71,2998521.71,2998252.3214285714
TWD,2830285.24,2830730.29,2830730.29,2830475.975714286
USD,87258.42,87272.14,87272.14,87264.3
ARS,87062903.8,87076594.14,87076594.14,87069748.97
AUD,133748.65,133769.68,133769.68,133759.16499999998
BRL,501561.28,501640.15,501640.15,501600.715
CAD,121814.06,121833.21,121833.21,121823.63500000001
CHF,77078.06,77090.18,77090.18,77084.12
CLP,85944303.27,85957817.72,85957817.72,85951060.495
CNY,629124.45,629223.37,629223.37,629173.9099999999
CZK,2082121.03,2082448.44,2082448.44,2082284.7349999999
DKK,613244.46,613340.89,613340.89,613292.675
EUR,82208.33,82221.26,82221.26,82214.795
GBP,68490.09,68500.86,68500.86,68495.475
HKD,678743.94,678850.67,678850.67,678797.3049999999
HRK,402493.83,402557.12,402557.12,402525.475
HUF,33642903.28,33648193.5,33648193.5,33645548.39
INR,7363519.93,7364677.82,7364677.82,7364098.875
ISK,11407668.0,11409461.81,11409461.81,11408564.905000001
JPY,13519469.79,13521595.68,13521595.68,13520532.735
KRW,122239394.84,122258616.55,122258616.55,122249005.695
NGN,146293095.67,146316099.75,146316099.75,146304597.70999998
NZD,147271.0,147294.16,147294.16,147282.58000000002
PLN,357219.11,357275.28,357275.28,357247.195
RON,319894.22,319944.52,319944.52,319919.37
RUB,8599361.91,8600714.13,8600714.13,8600038.02
SEK,951412.53,951562.14,951562.14,951487.335
SGD,116721.74,116740.1,116740.1,116730.92000000001
THB,3026994.42,3027470.4,3027470.4,3027232.41
TRY,2998050.28,2998521.71,2998521.71,2998285.995
TWD,2830285.24,2830730.29,2830730.29,2830507.765
USD,87258.42,87272.14,87272.14,87265.28
ARS,87062903.8,87076594.14,87076594.14,87070509.54444444
AUD,133748.65,133769.68,133769.68,133760.33333333334
BRL,501561.28,501640.15,501640.15,501605.0966666667
CAD,121814.06,121833.21,121833.21,121824.69888888889
CHF,77078.06,77090.18,77090.18,77084.79333333332
CLP,85944303.27,85957817.72,85957817.72,85951811.29777777
CNY,629124.45,629223.37,629223.37,629179.4055555555
CZK,2082121.03,2082448.44,2082448.44,2082302.9244444445
